Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
71075,2014,7,15,1.7,-3,0
71075,2014,7,16,0.3,-0.2,14.4
71075,2014,7,17,-0.7,-1.1,16.6
71075,2014,7,18,-0.6,-5.9,20.4
71075,2014,7,19,0.9,-6.3,0
71075,2014,7,20,5.1,-6,0
71075,2014,7,21,5.5,-8.4,0
71075,2014,7,22,6.8,-7.5,0
71075,2014,7,23,8.3,-8.2,0
71075,2014,7,24,3.5,-6.4,0
71075,2014,7,25,3.4,1,2
71075,2014,7,26,2.4,0.4,1.6
71075,2014,7,27,5.7,-1.4,1.4
71075,2014,7,28,3.7,-1.5,0
71075,2014,7,29,3,0.5,0
71075,2014,7,30,3.3,1.1,16.2
71075,2014,7,31,5.1,2.3,13.6
71075,2014,8,1,-3.9,-6.2,17
71075,2014,8,2,-0.5,-8.8,11.4
71075,2014,8,3,1.7,-13,0
71075,2014,8,4,2.8,-11.2,0
71075,2014,8,5,7.1,-7.9,0
71075,2014,8,6,6.3,-5.5,0
71075,2014,8,7,5.8,-5.2,0
71075,2014,8,8,7,-4.1,0
71075,2014,8,9,7.1,-3.5,0
71075,2014,8,10,0.3,-1.4,2.6
71075,2014,8,11,-1.6,-7.5,3.4
71075,2014,8,12,4.1,-11.3,0
71075,2014,8,13,4.1,-12.2,0
71075,2014,8,14,7.1,-7.5,0
71075,2014,8,15,7.5,-7.8,0
71075,2014,8,16,5.5,-6.7,0
71075,2014,8,17,1.6,-2.7,7.4
71075,2014,8,18,2.1,-0.2,57.6
71075,2014,8,19,3.7,-0.1,9
71075,2014,8,20,6.7,-7.2,1.2
71075,2014,8,21,4.8,-7.7,0
71075,2014,8,22,8.4,-3.4,0.6
71075,2014,8,23,8.7,-4.7,0
71075,2014,8,24,5,0.5,0
71075,2014,8,25,4.5,-3.5,6.8
71075,2014,8,26,2.8,-0.3,16
71075,2014,8,27,3.9,-2.3,9.6
71075,2014,8,28,9.2,-7.4,0
71075,2014,8,29,7.5,-2.8,0
71075,2014,8,30,9.6,-4.7,0
71075,2014,8,31,8.2,-4.8,0
71075,2014,9,1,7.1,-1.1,0
71075,2014,9,2,1.4,-2.3,21
71075,2014,9,3,0.9,-6.4,10
71075,2014,9,4,2.4,-6.1,0
71075,2014,9,5,4.4,-2,1.8
71075,2014,9,6,6.8,-6.1,2.4
71075,2014,9,7,9.9,-6.1,0
71075,2014,9,8,7.3,-2,0
71075,2014,9,9,7.4,3.4,0
71075,2014,9,10,4.1,1.9,48.8
71075,2014,9,11,3.3,0.9,0
71075,2014,9,12,7.5,-2.6,0.2
71075,2014,9,13,10,-4.5,0
71075,2014,9,14,8.6,-1.6,0
71075,2014,9,15,7.5,-2.8,0
71075,2014,9,16,7.2,1.9,2.2
71075,2014,9,17,1.1,-0.8,11
71075,2014,9,18,2.6,-3.8,6
71075,2014,9,19,5.9,-5.1,0
71075,2014,9,20,9.3,-2.1,0
71075,2014,9,21,8.8,-2.8,0
71075,2014,9,22,11.6,-3.6,0
71075,2014,9,23,14.6,-0.7,0
71075,2014,9,24,9.4,1.8,0
71075,2014,9,25,6.1,2.2,39.4
71075,2014,9,26,8.7,0.2,6.2
71075,2014,9,27,8.9,-3.4,0
71075,2014,9,28,10.8,1.9,0
71075,2014,9,29,12.2,6.3,0
71075,2014,9,30,9.9,4.3,0
71075,2015,6,1,-2.6,-7,29.6
71075,2015,6,2,4.3,-7.3,0
71075,2015,6,3,6.3,-10.4,0
71075,2015,6,4,2,-8.1,0
71075,2015,6,5,6.6,-5.9,1.8
71075,2015,6,6,9.4,-4.7,0
71075,2015,6,7,4.4,-2.5,0
71075,2015,6,8,2.7,0.2,0
71075,2015,6,9,3.2,0.2,0.4
71075,2015,6,10,8.4,-6.8,1.2
71075,2015,6,11,13.4,-5.3,0
71075,2015,6,12,14.3,-3,0
71075,2015,6,13,13.2,-2.4,0
71075,2015,6,14,10.5,-3.5,0
71075,2015,6,15,6.2,-4.2,0
71075,2015,6,16,6.5,2.3,9.8
71075,2015,6,17,4.6,3.8,6
71075,2015,6,18,2.2,0.4,53.2
71075,2015,6,19,0.7,-3.5,17.8
71075,2015,6,20,3.6,-9.2,0.4
71075,2015,6,21,4.6,-7,0
71075,2015,6,22,4.5,-2.7,0
71075,2015,6,23,4.6,-0.7,0
71075,2015,6,24,5.1,0.9,0
71075,2015,6,25,8,-0.5,0
71075,2015,6,26,10.4,-6.1,0
71075,2015,6,27,12.5,-5.9,0
71075,2015,6,28,11.4,-4.4,0
71075,2015,6,29,11.1,-6.3,0
71075,2015,6,30,5.8,-6.8,0
71075,2015,7,1,6.6,-8.9,0
71075,2015,7,2,-0.8,-4.3,0.4
71075,2015,7,3,4.4,-8.9,6.4
71075,2015,7,4,6.2,-6.8,0
71075,2015,7,5,4.6,-3.7,0
71075,2015,7,6,5.7,-7.7,0
71075,2015,7,7,3.8,-3.1,0
71075,2015,7,8,5.9,-8,0
71075,2015,7,9,4,-9.1,0
71075,2015,7,10,1.3,-1.5,8.4
71075,2015,7,11,2.3,-1.3,10.4
71075,2015,7,12,0.3,-4,22.2
71075,2015,7,13,0.9,-4.5,14.4
71075,2015,7,14,0.5,-3.5,7.4
71075,2015,7,15,0.8,-5.6,1
71075,2015,7,16,-0.8,-3,10.8
71075,2015,7,17,-1.2,-5.2,13
71075,2015,7,18,0.8,-6.1,1.2
71075,2015,7,19,2,-10.6,0.2
71075,2015,7,20,3.3,-9.4,0
71075,2015,7,21,2.6,-6.6,0
71075,2015,7,22,1.6,-0.2,10.4
71075,2015,7,23,2.3,-1,14.8
71075,2015,7,24,2.3,-0.8,0.2
71075,2015,7,25,0.3,-2.4,38.6
71075,2015,7,26,0.1,-2.2,19.4
71075,2015,7,27,-0.4,-5.9,19.2
71075,2015,7,28,2.2,-4.4,0
71075,2015,7,29,4.7,-7.8,0
71075,2015,7,30,0.8,-3.3,0
71075,2015,7,31,2.3,-2.6,4.2
71075,2015,8,1,2.5,-1.4,2
71075,2015,8,2,1.9,-0.1,51.8
71075,2015,8,3,-1.7,-3.5,32.6
71075,2015,8,4,-3,-12.8,6
71075,2015,8,5,-1.7,-7,5.8
71075,2015,8,6,0.5,-5.1,9
71075,2015,8,7,4.5,-6.5,0
71075,2015,8,8,5.3,-6.5,0
71075,2015,8,9,1,-8.3,0
71075,2015,8,10,0.6,-3,0
71075,2015,8,11,0.3,-2.4,3.4
71075,2015,8,12,1.5,-2.4,0
71075,2015,8,13,3.1,-4.6,2.2
71075,2015,8,14,7.3,-2,0
71075,2015,8,15,8.1,-6.6,0
71075,2015,8,16,2.2,-1.9,0
71075,2015,8,17,0.4,-1.7,5.2
71075,2015,8,18,4.6,-7.3,10.6
71075,2015,8,19,7.4,-10,0
71075,2015,8,20,6.5,-5.8,0
71075,2015,8,21,7.3,-1.8,0
71075,2015,8,22,7,3.1,9.6
71075,2015,8,23,5.5,1.5,1.8
71075,2015,8,24,0.8,-0.1,1.2
71075,2015,8,25,0.1,-2.1,54.8
71075,2015,8,26,3,-1.8,20
71075,2015,8,27,3.9,0,10.2
71075,2015,8,28,4.9,-0.5,5
71075,2015,8,29,1.2,-3.2,2.8
71075,2015,8,30,4.4,-2.4,0
71075,2015,8,31,4.2,-8,0
71075,2015,9,1,6.2,-4.2,0
71075,2015,9,2,8.5,-5.2,0
71075,2015,9,3,3.3,-0.9,19.8
71075,2015,9,4,4.4,-3.4,9.2
71075,2015,9,5,7.2,-4.2,0
71075,2015,9,6,5.3,-6.2,0
71075,2015,9,7,-0.5,-1.3,6.6
71075,2015,9,8,4.5,-3.5,5.2
71075,2015,9,9,6.7,-1.5,0.6
71075,2015,9,10,7.5,-3.5,0
71075,2015,9,11,7.9,-3.4,0
71075,2015,9,12,10.1,2.4,0
71075,2015,9,13,13.2,-1.2,0
71075,2015,9,14,9.2,0.8,0
71075,2015,9,15,4.7,4.3,9.2
71075,2015,9,16,5.3,-2.8,1.4
71075,2015,9,17,7.8,-2.6,0
71075,2015,9,18,5.8,-7.1,0
71075,2015,9,19,9.2,-3.7,0
71075,2015,9,20,8,-2.7,0
71075,2015,9,21,6.7,2.7,0
71075,2015,9,22,2.2,-2.6,6.2
71075,2015,9,23,0.4,-5.8,2.8
71075,2015,9,24,0.4,-6,0.8
71075,2015,9,25,3.9,-2.7,5.6
71075,2015,9,26,8,-1.6,0.4
71075,2015,9,27,11.5,-3.5,0
71075,2015,9,28,9.5,-2,0
71075,2015,9,29,8.2,3.4,0
71075,2015,9,30,9.9,0.8,0
71075,2016,6,1,6.2,-1.7,0.4
71075,2016,6,2,3.5,-2.9,0.2
71075,2016,6,3,4.6,-2.5,0.2
71075,2016,6,4,7.1,1.7,6
71075,2016,6,5,7.6,4.5,35.8
71075,2016,6,6,2,2,80.2
71075,2016,6,7,2.6,-0.5,7.6
71075,2016,6,8,5.4,-0.2,16.8
71075,2016,6,9,2.3,1.2,48.8
71075,2016,6,10,2.2,1,41.2
71075,2016,6,11,0.7,-1.1,4
71075,2016,6,12,5.7,-8.4,3.2
71075,2016,6,13,8.9,-5.7,0
71075,2016,6,14,9.8,-1.2,0
71075,2016,6,15,10.3,-5.6,0
71075,2016,6,16,6.4,1.7,0
71075,2016,6,17,4.3,2.2,4.4
71075,2016,6,18,5.5,0.7,16
71075,2016,6,19,4.7,2,0.6
71075,2016,6,20,6.7,2.2,54
71075,2016,6,21,0.6,-0.3,9
71075,2016,6,22,0.8,-1.7,43.4
71075,2016,6,23,0.8,-1.6,8.2
71075,2016,6,24,-2.4,-3.2,38.6
71075,2016,6,25,-2.1,-6.8,13
71075,2016,6,26,0.9,-8.4,0
71075,2016,6,27,2.8,-6.8,1.6
71075,2016,6,28,4.5,-5.2,0
71075,2016,6,29,4.7,-7.2,0
71075,2016,6,30,-0.3,-2.6,0
71075,2016,7,1,1.3,-4.3,14.4
71075,2016,7,2,6.1,-2.8,0.4
71075,2016,7,3,7.6,-2.3,0
71075,2016,7,4,7.4,-1.7,0
71075,2016,7,5,1.8,-2.2,0
71075,2016,7,6,4,-1.2,19.8
71075,2016,7,7,2.3,0.6,27.4
71075,2016,7,8,3.5,-1.6,2.4
71075,2016,7,9,5.2,-0.9,4.6
71075,2016,7,10,2.4,-0.1,0
71075,2016,7,11,2.6,0.2,32
71075,2016,7,12,-0.1,-0.8,21.4
71075,2016,7,13,-3.9,-7.2,21.6
71075,2016,7,14,,-7,4.2
71075,2016,7,15,,-4.4,
71075,2016,7,16,10.3,-3.9,
71075,2016,7,17,8.3,-3.5,0
71075,2016,7,18,7.7,1.4,0
71075,2016,7,19,7.9,2.8,21.6
71075,2016,7,20,7.2,1,0
71075,2016,7,21,7.6,-0.1,0
71075,2016,7,22,8.1,3.3,30.4
71075,2016,7,23,-1.8,-2.9,148
71075,2016,7,24,-2.3,-5.7,7.6
71075,2016,7,25,-1.1,-5.1,16.6
71075,2016,7,26,-0.9,-5,27
71075,2016,7,27,1.1,-4.5,14.2
71075,2016,7,28,4.8,-4,5.8
71075,2016,7,29,1.4,-3,0
71075,2016,7,30,4.4,-5.2,0
71075,2016,7,31,2.6,-0.5,1
71075,2016,8,1,1.4,0.7,2.8
71075,2016,8,2,-0.6,-3.9,20.6
71075,2016,8,3,0.9,-5.4,0
71075,2016,8,4,-0.2,-3.2,3.2
71075,2016,8,5,3.3,-8.6,0.4
71075,2016,8,6,2.6,-6.9,0
71075,2016,8,7,3.1,-6.5,0
71075,2016,8,8,5.2,-6.6,0
71075,2016,8,9,7.1,-0.5,0
71075,2016,8,10,1.6,0.1,27.6
71075,2016,8,11,3,-3.1,2.6
71075,2016,8,12,1.7,-7.4,0
71075,2016,8,13,2.4,-3.7,0.4
71075,2016,8,14,7.7,-4,0
71075,2016,8,15,9.6,-2.9,0
71075,2016,8,16,4.5,0.7,0
71075,2016,8,17,4.5,1.4,4.4
71075,2016,8,18,5.6,1.4,5.8
71075,2016,8,19,6.7,2.6,0
71075,2016,8,20,-0.2,-4.2,25
71075,2016,8,21,0.8,-3.6,12.8
71075,2016,8,22,1.7,-0.9,6.2
71075,2016,8,23,4.4,-2.9,2
71075,2016,8,24,2,-6.8,0
71075,2016,8,25,0.2,-8.3,1.2
71075,2016,8,26,2,-6.5,4.6
71075,2016,8,27,2.6,-8,0
71075,2016,8,28,3.3,-3.2,0
71075,2016,8,29,8.6,-5.3,0
71075,2016,8,30,8.6,-1,0
71075,2016,8,31,5.8,4.3,45.4
71075,2016,9,1,5.4,1.1,15.4
71075,2016,9,2,3.6,-2.8,0.2
71075,2016,9,3,3.3,-0.1,51.4
71075,2016,9,4,10.2,-1.2,13.6
71075,2016,9,5,12.9,-2,0
71075,2016,9,6,11,1.9,0
71075,2016,9,7,12.4,-0.4,0
71075,2016,9,8,8.7,3.8,0
71075,2016,9,9,7.1,4.3,0
71075,2016,9,10,5.5,2.3,29.2
71075,2016,9,11,7.4,-1.4,22.2
71075,2016,9,12,8.8,-3.5,0
71075,2016,9,13,9.5,-2.4,0
71075,2016,9,14,7.4,2.4,2.6
71075,2016,9,15,1.2,-2,52.4
71075,2016,9,16,2.3,-0.9,22.4
71075,2016,9,17,5.3,-1.5,0.2
71075,2016,9,18,3,1.6,0
71075,2016,9,19,4.9,-2.2,15
71075,2016,9,20,7.3,-4.2,0
71075,2016,9,21,8.8,1.7,6.2
71075,2016,9,22,4.2,0.4,7.8
71075,2016,9,23,9.9,1.4,0.2
71075,2016,9,24,10,0.6,0.8
71075,2016,9,25,6.7,1.1,5.4
71075,2016,9,26,2.4,-3,2.2
71075,2016,9,27,5.4,-2.4,14.8
71075,2016,9,28,9.5,-2,1.6
71075,2016,9,29,4.2,2.5,5.4
71075,2016,9,30,1.3,-1.8,41.4
71075,2017,6,1,5.6,-6.9,0
71075,2017,6,2,4.5,-6.8,0
71075,2017,6,3,7.7,-6.3,0
71075,2017,6,4,9,-6.7,0
71075,2017,6,5,8.7,-6.7,0
71075,2017,6,6,0.6,-3.1,6
71075,2017,6,7,4.1,-3.1,2.4
71075,2017,6,8,8.1,-2.4,0.4
71075,2017,6,9,3.3,-3.6,0.8
71075,2017,6,10,10.4,-3.6,0
71075,2017,6,11,8.8,-3.6,0
71075,2017,6,12,7.6,0.2,0
71075,2017,6,13,13.5,-3.8,0
71075,2017,6,14,12.2,-2.8,0
71075,2017,6,15,10.2,-0.8,0
71075,2017,6,16,9.6,-4.5,0
71075,2017,6,17,8.1,-2.1,0
71075,2017,6,18,11,-4.6,0
71075,2017,6,19,13.9,-5.2,0
71075,2017,6,20,10.4,-3.8,0
71075,2017,6,21,10.4,-4.5,0
71075,2017,6,22,5.8,-4.9,0
71075,2017,6,23,3.3,-4.3,0
71075,2017,6,24,1.3,-2,0.2
71075,2017,6,25,0,-5.3,0
71075,2017,6,26,2.8,-2.9,1.2
71075,2017,6,27,7.5,-9.6,0.2
71075,2017,6,28,3.9,-2,0
71075,2017,6,29,1.2,-8.2,0
71075,2017,6,30,1.4,-7,0.2
71075,2017,7,1,5.7,-9.6,1
71075,2017,7,2,7.9,-7.5,0.2
71075,2017,7,3,3.1,-5,0.2
71075,2017,7,4,1.5,-1.4,17.2
71075,2017,7,5,0.8,-0.4,25.8
71075,2017,7,6,-0.7,-3.5,5
71075,2017,7,7,-1.2,-3.8,2.6
71075,2017,7,8,0.2,-3.3,0
71075,2017,7,9,-0.9,-3.9,0.2
71075,2017,7,10,-0.5,-3.3,0
71075,2017,7,11,2.5,-3.4,0
71075,2017,7,12,3.9,-11.6,1
71075,2017,7,13,1.3,-10.2,2
71075,2017,7,14,1.4,-1.4,0.8
71075,2017,7,15,-0.9,-2.6,3.8
71075,2017,7,16,6.5,-12.1,2.2
71075,2017,7,17,2.8,-6.2,3
71075,2017,7,18,0.6,-0.9,10
71075,2017,7,19,1.6,-2.7,4.8
71075,2017,7,20,-1.5,-3.8,11
71075,2017,7,21,3.3,-6.6,0
71075,2017,7,22,3.2,-7.8,3.6
71075,2017,7,23,0.7,-2.5,0
71075,2017,7,24,0.7,-1.3,0
71075,2017,7,25,2.7,-1.5,6.6
71075,2017,7,26,0.5,-0.7,19.6
71075,2017,7,27,3.3,-9.2,10.2
71075,2017,7,28,3.9,-1.8,12.6
71075,2017,7,29,7.1,-2.1,0
71075,2017,7,30,2.7,2.5,0.6
71075,2017,7,31,2,-0.1,0
71075,2017,8,1,4.6,-4.9,9.2
71075,2017,8,2,6,-9.5,1
71075,2017,8,3,0.6,-9,0
71075,2017,8,4,0,-1.4,5.2
71075,2017,8,5,-1,-3.4,21.2
71075,2017,8,6,-0.2,-2.9,4.6
71075,2017,8,7,-1.2,-3.6,48
71075,2017,8,8,2,-4.2,12
71075,2017,8,9,6.4,-2.7,0.2
71075,2017,8,10,6.3,-1,
71075,2017,8,11,1.7,0.3,0
71075,2017,8,12,1.2,-1.5,2
71075,2017,8,13,3.9,-0.8,3.6
71075,2017,8,14,5,0.3,0
71075,2017,8,15,5.8,2.2,3.2
71075,2017,8,16,0.5,-0.5,145.6
71075,2017,8,17,-0.1,-0.9,52
71075,2017,8,18,-2.6,-4.3,40
71075,2017,8,19,-2.1,-7,2.2
71075,2017,8,20,1.2,-8.3,0.2
71075,2017,8,21,1.8,-6.3,0
71075,2017,8,22,4.2,-4.8,0
71075,2017,8,23,0.7,-1.4,0
71075,2017,8,24,2.3,-2.4,1.2
71075,2017,8,25,5.7,-10.2,0
71075,2017,8,26,4.6,-8.3,0
71075,2017,8,27,-1.8,-3.6,4
71075,2017,8,28,2.4,-7.1,3.4
71075,2017,8,29,1.5,-10.3,0
71075,2017,8,30,2.9,-9.9,0
71075,2017,8,31,2.9,-7.8,0
71075,2017,9,1,6.4,-9.5,0
71075,2017,9,2,8.1,-2.5,0
71075,2017,9,3,9.5,2.2,0
71075,2017,9,4,-1.4,-2.2,11.6
71075,2017,9,5,-1.8,-6,16.4
71075,2017,9,6,0,-5.9,23.6
71075,2017,9,7,-0.3,-4,2.8
71075,2017,9,8,0.2,-1.9,13
71075,2017,9,9,4,-4.1,1.6
71075,2017,9,10,7.3,-3.3,0
71075,2017,9,11,6.6,-1.5,0
71075,2017,9,12,11,3.1,0
71075,2017,9,13,6,4.5,3.8
71075,2017,9,14,0.4,-4.3,16.6
71075,2017,9,15,1.2,-3.5,8.6
71075,2017,9,16,4.8,-0.4,21.8
71075,2017,9,17,7.4,-5,4.2
71075,2017,9,18,7.8,-2.3,0
71075,2017,9,19,4.8,-2.3,14.4
71075,2017,9,20,9.7,-3.3,1.2
71075,2017,9,21,10,0.5,0
71075,2017,9,22,12.6,5,0
71075,2017,9,23,17,8.5,0
71075,2017,9,24,4.8,2.2,0
71075,2017,9,25,2.6,0.2,0
71075,2017,9,26,9.9,-1.5,10.8
71075,2017,9,27,13.7,-1.5,0
71075,2017,9,28,4.8,3.6,6.2
71075,2017,9,29,4,0.7,0.6
71075,2017,9,30,3.5,-1.3,0.4
71075,2018,6,1,1.9,-4.3,1.2
71075,2018,6,2,3,-1.6,0.8
71075,2018,6,3,5.4,-0.2,7.2
71075,2018,6,4,7.1,1.4,1.6
71075,2018,6,5,3.9,-3.4,2
71075,2018,6,6,5.8,-0.2,0
71075,2018,6,7,6.5,1,0.4
71075,2018,6,8,2.2,1.1,4.2
71075,2018,6,9,6.4,0.6,18.6
71075,2018,6,10,5.2,-1.8,0
71075,2018,6,11,6.9,-6.5,0
71075,2018,6,12,2.6,-3.4,5
71075,2018,6,13,0.4,0.1,22.8
71075,2018,6,14,0.5,-2.3,13.6
71075,2018,6,15,-1.2,-2.3,26.4
71075,2018,6,16,-2.8,-4.7,36.4
71075,2018,6,17,-0.7,-4.4,8.4
71075,2018,6,18,0.9,-3.9,6.6
71075,2018,6,19,1.1,-2.9,1.6
71075,2018,6,20,4.5,-8.8,0
71075,2018,6,21,6.3,-6.5,0
71075,2018,6,22,3.1,-5.5,0
71075,2018,6,23,3.9,-0.9,0
71075,2018,6,24,4.2,-4.3,0.4
71075,2018,6,25,6.5,-9.4,0
71075,2018,6,26,5.3,-8,0
71075,2018,6,27,7.7,-6.5,0
71075,2018,6,28,3.9,-3.5,2.8
71075,2018,6,29,2,-1.8,4
71075,2018,6,30,-0.2,-2.7,1.6
71075,2018,7,1,5,-7.7,7.4
71075,2018,7,2,4,-9.7,0
71075,2018,7,3,7.5,-7.3,0
71075,2018,7,4,7.3,-1.4,0
71075,2018,7,5,6.6,2.1,0
71075,2018,7,6,2.4,2.3,11.2
71075,2018,7,7,-1,-3,35.4
71075,2018,7,8,0.7,-3.2,18
71075,2018,7,9,4.2,-3.2,0
71075,2018,7,10,4.5,-12,0
71075,2018,7,11,6.5,-8.5,0
71075,2018,7,12,1.6,-8.4,0
71075,2018,7,13,0.7,-4.7,0
71075,2018,7,14,5.5,-7.8,0
71075,2018,7,15,4,-7.9,0
71075,2018,7,16,1.6,-7,0
71075,2018,7,17,3.6,-3.3,0.4
71075,2018,7,18,-1.5,-4.2,9.6
71075,2018,7,19,2.1,-3.2,0
71075,2018,7,20,-2.2,-3.5,19
71075,2018,7,21,1.8,-5.6,13.6
71075,2018,7,22,3.2,-12.1,0
71075,2018,7,23,4.4,-9.9,0
71075,2018,7,24,1.5,-2.3,10.8
71075,2018,7,25,0.8,-1.1,8.2
71075,2018,7,26,0.7,-2.8,0
71075,2018,7,27,2.3,-1.3,0.6
71075,2018,7,28,3.9,0,1.2
71075,2018,7,29,2.3,1.4,12.2
71075,2018,7,30,0.9,-4.4,21.4
71075,2018,7,31,0.1,-4.1,2.2
71075,2018,8,1,1.1,-1.7,13.8
71075,2018,8,2,5.8,-8.8,0
71075,2018,8,3,7.5,-1.9,0
71075,2018,8,4,0.6,-2.3,42
71075,2018,8,5,5.4,-2.5,0.6
71075,2018,8,6,-1.2,-1.5,1.8
71075,2018,8,7,-1.7,-4.5,40.6
71075,2018,8,8,2.9,-4.4,9.8
71075,2018,8,9,5.5,-5.6,8.6
71075,2018,8,10,4,-0.6,0
71075,2018,8,11,2.5,1.5,0
71075,2018,8,12,0.4,-5.3,27.6
71075,2018,8,13,6,-4.1,2.4
71075,2018,8,14,6.3,-0.6,0
71075,2018,8,15,2.3,-1,0
71075,2018,8,16,-0.7,-2.9,30.2
71075,2018,8,17,-0.5,-6.7,0
71075,2018,8,18,-0.4,-2.4,7.4
71075,2018,8,19,-1.5,-4.9,30.6
71075,2018,8,20,0.9,-8.2,2.4
71075,2018,8,21,-0.5,-5,4.4
71075,2018,8,22,3.5,-4.2,1.8
71075,2018,8,23,1.2,-9.1,0
71075,2018,8,24,3.2,-7.9,0
71075,2018,8,25,6,-7.5,0
71075,2018,8,26,5.6,-0.7,2.6
71075,2018,8,27,0.2,-5.7,0
71075,2018,8,28,0.7,-11.4,0
71075,2018,8,29,3.7,-14.2,0
71075,2018,8,30,7.9,-7.8,0
71075,2018,8,31,2.3,0.5,0
71075,2018,9,1,1.3,-0.5,25
71075,2018,9,2,1.7,-6.8,4.8
71075,2018,9,3,4,-6.5,0
71075,2018,9,4,5.1,-6.6,0
71075,2018,9,5,7.4,-4.4,0
71075,2018,9,6,5.1,0.1,0
71075,2018,9,7,6,1,38.6
71075,2018,9,8,4.6,-2.6,0
71075,2018,9,9,8.3,-1.8,0
71075,2018,9,10,11.5,-0.1,0
71075,2018,9,11,8.6,1.4,0
71075,2018,9,12,6.7,5.2,0
71075,2018,9,13,9.2,-1.1,0
71075,2018,9,14,9.8,-1.5,0
71075,2018,9,15,9.9,3.6,0
71075,2018,9,16,0.4,-6.8,9
71075,2018,9,17,3.6,-7.6,0
71075,2018,9,18,6.1,-1,0
71075,2018,9,19,2,0.9,0
71075,2018,9,20,6.9,-6.5,0
71075,2018,9,21,9.3,-4,0
71075,2018,9,22,9.8,-1,0
71075,2018,9,23,9.1,-0.3,0
71075,2018,9,24,7.3,-7.5,0
71075,2018,9,25,6.6,-4.7,0
71075,2018,9,26,5.5,-2.2,0.6
71075,2018,9,27,7.8,-2.7,0
71075,2018,9,28,7.9,3.5,0
71075,2018,9,29,5.8,-4.2,2.8
71075,2018,9,30,10.1,-6.6,0
71075,2019,6,1,6.8,-4.2,0
71075,2019,6,2,4.1,-4,0
71075,2019,6,3,0.9,-3.4,0
71075,2019,6,4,-0.8,-4,16.2
71075,2019,6,5,4.7,-4.9,1
71075,2019,6,6,6.8,-2.7,0
71075,2019,6,7,11.3,-3.7,0
71075,2019,6,8,8.5,-3.6,0
71075,2019,6,9,5.3,1.6,0
71075,2019,6,10,7.2,3,7.2
71075,2019,6,11,8.5,0.6,33.2
71075,2019,6,12,7.1,4.4,0
71075,2019,6,13,3.3,2.7,25.2
71075,2019,6,14,1.4,-1.1,0.6
71075,2019,6,15,4.5,0.1,1
71075,2019,6,16,5.6,-4.6,0
71075,2019,6,17,7.2,-5.7,0
71075,2019,6,18,2.1,-2,0
71075,2019,6,19,2,-6.6,2.4
71075,2019,6,20,0.2,-12,0
71075,2019,6,21,0.1,-9.1,0
71075,2019,6,22,1.2,-7.8,0
71075,2019,6,23,0.5,-4.1,0
71075,2019,6,24,5.9,-8.2,0.4
71075,2019,6,25,10.4,-6.9,0
71075,2019,6,26,10.6,-6.9,0
71075,2019,6,27,9.6,-5.4,0
71075,2019,6,28,5.9,-0.2,0
71075,2019,6,29,5,-0.7,0.8
71075,2019,6,30,2.9,-2.5,33.4
71075,2019,7,1,4,-3.6,1
71075,2019,7,2,3.9,-2.9,0
71075,2019,7,3,7.6,-7.5,0
71075,2019,7,4,4,-3,0
71075,2019,7,5,6.4,-2.1,0
71075,2019,7,6,10.1,-4,0
71075,2019,7,7,4.6,-3.7,0
71075,2019,7,8,3.6,2.3,7.6
71075,2019,7,9,0.1,-2,0.8
71075,2019,7,10,1.2,-1.8,1.2
